Epoch [49/300]: loss = 0.5229, recall = 0.6584, precision = 0.5785, f1 = 0.6159, accuracy = 0.5967, auc = 0.5977
Epoch [50/300]: loss = 0.5266, recall = 0.6131, precision = 0.6392, f1 = 0.6259, accuracy = 0.64, auc = 0.6395
Epoch [51/300]: loss = 0.521, recall = 0.6244, precision = 0.6345, f1 = 0.6294, accuracy = 0.6389, auc = 0.6386
Epoch [52/300]: loss = 0.5248, recall = 0.5973, precision = 0.6519, f1 = 0.6234, accuracy = 0.6456, auc = 0.6447
Epoch [53/300]: loss = 0.5195, recall = 0.6018, precision = 0.6364, f1 = 0.6186, accuracy = 0.6356, auc = 0.635
Epoch [54/300]: loss = 0.5199, recall = 0.6018, precision = 0.6488, f1 = 0.6244, accuracy = 0.6444, auc = 0.6437
Epoch [55/300]: loss = 0.5161, recall = 0.5837, precision = 0.637, f1 = 0.6092, accuracy = 0.6322, auc = 0.6314
Epoch [56/300]: loss = 0.5157, recall = 0.595, precision = 0.6478, f1 = 0.6203, accuracy = 0.6422, auc = 0.6414
Epoch [57/300]: loss = 0.5117, recall = 0.5769, precision = 0.625, f1 = 0.6, accuracy = 0.6222, auc = 0.6214
Epoch [58/300]: loss = 0.5135, recall = 0.6063, precision = 0.6489, f1 = 0.6269, accuracy = 0.6456, auc = 0.6449
Epoch [59/300]: loss = 0.5079, recall = 0.5769, precision = 0.6281, f1 = 0.6014, accuracy = 0.6244, auc = 0.6236
Epoch [60/300]: loss = 0.5117, recall = 0.6086, precision = 0.6405, f1 = 0.6241, accuracy = 0.64, auc = 0.6395
Epoch [61/300]: loss = 0.5047, recall = 0.5928, precision = 0.6406, f1 = 0.6157, accuracy = 0.6367, auc = 0.6359
Epoch [62/300]: loss = 0.5085, recall = 0.6131, precision = 0.6273, f1 = 0.6201, accuracy = 0.6311, auc = 0.6308
Epoch [63/300]: loss = 0.5014, recall = 0.6063, precision = 0.6366, f1 = 0.6211, accuracy = 0.6367, auc = 0.6361
Epoch [64/300]: loss = 0.5047, recall = 0.6335, precision = 0.6167, f1 = 0.625, accuracy = 0.6267, auc = 0.6268
Epoch [65/300]: loss = 0.4993, recall = 0.6425, precision = 0.6081, f1 = 0.6249, accuracy = 0.6211, auc = 0.6215
Epoch [66/300]: loss = 0.502, recall = 0.6403, precision = 0.606, f1 = 0.6227, accuracy = 0.6189, auc = 0.6193
Epoch [67/300]: loss = 0.4965, recall = 0.6697, precision = 0.5815, f1 = 0.6225, accuracy = 0.6011, auc = 0.6023
Epoch [68/300]: loss = 0.5006, recall = 0.6425, precision = 0.6161, f1 = 0.629, accuracy = 0.6278, auc = 0.628
Epoch [69/300]: loss = 0.4938, recall = 0.6878, precision = 0.579, f1 = 0.6287, accuracy = 0.6011, auc = 0.6026
Epoch [70/300]: loss = 0.498, recall = 0.6312, precision = 0.6186, f1 = 0.6249, accuracy = 0.6278, auc = 0.6278
Epoch [71/300]: loss = 0.4926, recall = 0.6855, precision = 0.5838, f1 = 0.6306, accuracy = 0.6056, auc = 0.607
Epoch [72/300]: loss = 0.4962, recall = 0.6267, precision = 0.6156, f1 = 0.6211, accuracy = 0.6244, auc = 0.6245
Epoch [73/300]: loss = 0.4903, recall = 0.6652, precision = 0.6025, f1 = 0.6323, accuracy = 0.62, auc = 0.6208
Epoch [74/300]: loss = 0.4936, recall = 0.6154, precision = 0.6282, f1 = 0.6217, accuracy = 0.6322, auc = 0.6319
Epoch [75/300]: loss = 0.4889, recall = 0.6561, precision = 0.6092, f1 = 0.6318, accuracy = 0.6244, auc = 0.625
Epoch [76/300]: loss = 0.4915, recall = 0.6109, precision = 0.6193, f1 = 0.615, accuracy = 0.6244, auc = 0.6242
Epoch [77/300]: loss = 0.4874, recall = 0.6606, precision = 0.6021, f1 = 0.63, accuracy = 0.6189, auc = 0.6196
Epoch [78/300]: loss = 0.4916, recall = 0.6199, precision = 0.6241, f1 = 0.622, accuracy = 0.63, auc = 0.6298
Epoch [79/300]: loss = 0.4859, recall = 0.6584, precision = 0.6, f1 = 0.6278, accuracy = 0.6167, auc = 0.6174
Epoch [80/300]: loss = 0.4904, recall = 0.6086, precision = 0.61, f1 = 0.6093, accuracy = 0.6167, auc = 0.6165
Epoch [81/300]: loss = 0.4844, recall = 0.638, precision = 0.5912, f1 = 0.6137, accuracy = 0.6056, auc = 0.6061
Epoch [82/300]: loss = 0.4883, recall = 0.6063, precision = 0.605, f1 = 0.6056, accuracy = 0.6122, auc = 0.6121
Epoch [83/300]: loss = 0.4824, recall = 0.6199, precision = 0.5855, f1 = 0.6022, accuracy = 0.5978, auc = 0.5982
Epoch [84/300]: loss = 0.4863, recall = 0.6199, precision = 0.613, f1 = 0.6164, accuracy = 0.6211, auc = 0.6211
Epoch [85/300]: loss = 0.4815, recall = 0.6267, precision = 0.6128, f1 = 0.6197, accuracy = 0.6222, auc = 0.6223
Epoch [86/300]: loss = 0.4853, recall = 0.6154, precision = 0.6168, f1 = 0.6161, accuracy = 0.6233, auc = 0.6232
Epoch [87/300]: loss = 0.4808, recall = 0.6244, precision = 0.612, f1 = 0.6181, accuracy = 0.6211, auc = 0.6212
Epoch [88/300]: loss = 0.4842, recall = 0.6131, precision = 0.6187, f1 = 0.6159, accuracy = 0.6244, auc = 0.6242
Epoch [89/300]: loss = 0.4792, recall = 0.6018, precision = 0.6259, f1 = 0.6136, accuracy = 0.6278, auc = 0.6273
Epoch [90/300]: loss = 0.4829, recall = 0.6154, precision = 0.6112, f1 = 0.6133, accuracy = 0.6189, auc = 0.6188
Epoch [91/300]: loss = 0.4769, recall = 0.5882, precision = 0.6205, f1 = 0.6039, accuracy = 0.6211, auc = 0.6205
Epoch [92/300]: loss = 0.4795, recall = 0.6244, precision = 0.5987, f1 = 0.6113, accuracy = 0.61, auc = 0.6103
Epoch [93/300]: loss = 0.4745, recall = 0.6086, precision = 0.6045, f1 = 0.6065, accuracy = 0.6122, auc = 0.6122
Epoch [94/300]: loss = 0.4768, recall = 0.6154, precision = 0.5978, f1 = 0.6065, accuracy = 0.6078, auc = 0.6079
Epoch [95/300]: loss = 0.4732, recall = 0.5973, precision = 0.6083, f1 = 0.6027, accuracy = 0.6133, auc = 0.6131
Epoch [96/300]: loss = 0.4767, recall = 0.6154, precision = 0.6004, f1 = 0.6078, accuracy = 0.61, auc = 0.6101
Epoch [97/300]: loss = 0.472, recall = 0.5905, precision = 0.607, f1 = 0.5986, accuracy = 0.6111, auc = 0.6108
Epoch [98/300]: loss = 0.4743, recall = 0.6244, precision = 0.6026, f1 = 0.6133, accuracy = 0.6133, auc = 0.6135
Epoch [99/300]: loss = 0.4706, recall = 0.5928, precision = 0.6179, f1 = 0.6051, accuracy = 0.62, auc = 0.6195
Epoch [100/300]: loss = 0.4748, recall = 0.6312, precision = 0.6, f1 = 0.6152, accuracy = 0.6122, auc = 0.6126
Epoch [101/300]: loss = 0.469, recall = 0.5792, precision = 0.6244, f1 = 0.6009, accuracy = 0.6222, auc = 0.6215
Epoch [102/300]: loss = 0.4739, recall = 0.6403, precision = 0.5945, f1 = 0.6166, accuracy = 0.6089, auc = 0.6094
Epoch [103/300]: loss = 0.4686, recall = 0.5792, precision = 0.6169, f1 = 0.5974, accuracy = 0.6167, auc = 0.616
Epoch [104/300]: loss = 0.472, recall = 0.6425, precision = 0.588, f1 = 0.6141, accuracy = 0.6033, auc = 0.604
Epoch [105/300]: loss = 0.4663, recall = 0.5792, precision = 0.6154, f1 = 0.5967, accuracy = 0.6156, auc = 0.6149
Epoch [106/300]: loss = 0.4707, recall = 0.6448, precision = 0.5901, f1 = 0.6162, accuracy = 0.6056, auc = 0.6062
Epoch [107/300]: loss = 0.4647, recall = 0.6041, precision = 0.6096, f1 = 0.6068, accuracy = 0.6156, auc = 0.6154
Epoch [108/300]: loss = 0.4683, recall = 0.6538, precision = 0.5827, f1 = 0.6162, accuracy = 0.6, auc = 0.6009
Epoch [109/300]: loss = 0.4643, recall = 0.6086, precision = 0.6086, f1 = 0.6086, accuracy = 0.6156, auc = 0.6154
Epoch [110/300]: loss = 0.4676, recall = 0.6403, precision = 0.5799, f1 = 0.6086, accuracy = 0.5956, auc = 0.5963
Epoch [111/300]: loss = 0.463, recall = 0.6109, precision = 0.5973, f1 = 0.604, accuracy = 0.6067, auc = 0.6067
Epoch [112/300]: loss = 0.4668, recall = 0.638, precision = 0.5779, f1 = 0.6065, accuracy = 0.5933, auc = 0.5941
Epoch [113/300]: loss = 0.4624, recall = 0.629, precision = 0.5804, f1 = 0.6037, accuracy = 0.5944, auc = 0.595
Epoch [114/300]: loss = 0.4659, recall = 0.6403, precision = 0.5811, f1 = 0.6093, accuracy = 0.5967, auc = 0.5974
Epoch [115/300]: loss = 0.4613, recall = 0.6448, precision = 0.5734, f1 = 0.607, accuracy = 0.59, auc = 0.591
Epoch [116/300]: loss = 0.4655, recall = 0.6471, precision = 0.5873, f1 = 0.6157, accuracy = 0.6033, auc = 0.6041
Epoch [117/300]: loss = 0.4607, recall = 0.638, precision = 0.5674, f1 = 0.6006, accuracy = 0.5833, auc = 0.5843
Epoch [118/300]: loss = 0.4649, recall = 0.6493, precision = 0.5822, f1 = 0.6139, accuracy = 0.5989, auc = 0.5998
Epoch [119/300]: loss = 0.4601, recall = 0.6493, precision = 0.5672, f1 = 0.6055, accuracy = 0.5844, auc = 0.5856
Epoch [120/300]: loss = 0.4636, recall = 0.6448, precision = 0.5816, f1 = 0.6116, accuracy = 0.5978, auc = 0.5986
Epoch [121/300]: loss = 0.459, recall = 0.6855, precision = 0.5827, f1 = 0.6299, accuracy = 0.6044, auc = 0.6059
Epoch [122/300]: loss = 0.4627, recall = 0.6403, precision = 0.5859, f1 = 0.6119, accuracy = 0.6011, auc = 0.6018
Epoch [123/300]: loss = 0.4578, recall = 0.6833, precision = 0.5853, f1 = 0.6305, accuracy = 0.6067, auc = 0.608
[BEST] recall = 0.6652, precision = 0.6025, f1 = 0.6323, accuracy =0.62, auc = 0.6208


过拟合问题：
dropout，loss加正则项，

